Elegido;60;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;;;
Numero;Codigo;C;C+;C-;B;B+;B-;D;D+;D-;d;d+;d-;GR;GR+;GR-;ARO INT+;ARO INT -;ARO EXT +;ARO EXT -;Cage type;Fecha Rev. Plano;Rev.;;;;
33;B&P-042-22213-CW33C3 - HLBR;31;0;-150;31;0;-150;120;0;-15;65;0;-15;C3;90;65;64;58;64;58;Acero/Steel;16/06/2023;B;;;;
34;B&P-042-22216-CKW33C3 - HLBR;33;0;-150;33;0;-150;140;0;-18;80;46;0;C3;120;95;64;58;64;58;Acero/Steel ;2023-08-03 00:00:00;B;;;;
35;B&P-042-22217-CW33C3 - HLBR;36;0;-200;36;0;-200;150;0;-18;85;0;-20;C3;135;100;64;58;64;58;Acero/Steel ;2018-03-21 00:00:00;0;;;;
36;B&P-042-22217-CKW33C3 - HLBR;36;0;-200;36;0;-200;150;0;-18;85;54;0;C3;140;110;64;58;64;58;Acero/Steel ;2023-08-03 00:00:00;B;;;;
37;BPB-042-22222-KC3W33;53;0;-200;53;0;-200;200;0;-13;110;0;-7;C3;121;162;64;58;64;58;Acero/Steel ;2008-05-26 00:00:00;0;;;;
38;BPB-031-12025ROLLERS-BBS;37;0;-120;37;0;-120;52;0;-16;25;0;-12;Axial;0.21;0.15;65;60;65;60;GRPA66-25-JB/T6638;2020-03-04 00:00:00;B;;;;
39;BPB-042-22222-KMBW33-BOT;53;0;-200;53;0;-200;200;0;-30;110;35;0;C3;135;170;NO;NO;NO;NO;08AI-GB/T13237;2020-04-22 00:00:00;0;;;;
40;B&P-042-22210-CW33C3 -HLBR;23;0;-120;23;0;-120;90;0;-15;50;0;-12;Radial C3;75;55;NO;NO;NO;NO;10-GB710;2020-04-22 00:00:00;0;;;;
41;BPB-042-22209-CW33C3 - HLBR;23;0;-120;23;0;-120;85;0;-15;45;0;-12;C3;80;60;64;58;64;58;Acero/Steel ;2020-07-31 00:00:00;A;;;;
42;B&P-042-22215-CW33C3 - HLBR;31;0;-150;31;0;-150;130;0;-18;75;0;-15;C3;110;80;64;58;64;58;Acero/Steel ;2023-06-16 00:00:00;E;;;;
43;B&P-042-22222-CKW33C-HLBR;53;0;-200;53;0;-200;200;0;-30;110;54;0;Radial C3;115;155;NO;NO;NO;NO;08AI-GB/T13237;2024-03-08 00:00:00;C;;;;
44;B&P-042-22220-CKW33C-HLBR;46;0;-200;46;0;-200;180;0;-25;100;54;0;C3;140;110;64;58;64;58;08AI-GB/T13237;2024-10-16 00:00:00;B;;;;
45;B&P-042-22207-CW33C3 - HLBR;23;0;-120;23;0;-120;72;0;-13;35;0;-12;C3;60;45;64;58;64;58;Acero/Steel ;2022-01-20 00:00:00;D;;;;
46;B&P-042-22209-CW33C3 - HLBR;23;0;-120;23;0;-120;85;0;-15;45;0;-12;C3;80;60;64;58;64;58;Acero/Steel ;2022-01-20 00:00:00;C;;;;
