Elegido;356;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;;;;;;;;
Numero;Codigo;C;C+;C-;D;D+;D-;B;B+;B-;d;d+;d-;GA/GR;GR/GA-;GR/GA+;ARO INT+;ARO INT -;ARO EXT +;ARO EXT -;PORCENTAJE DE GRASA;TIPO DE GRASA;TORQUE DE SELLOS +;TORQUE DE SELLOS -;Fecha Rev. Plano;Rev.;Tipo de prisionero;;;;;;;;
30;ACLR208-40R;22;0;-120;80;0;-13;30.18;0;-120;40;21;0;GR C0;20;6;64;58;64;58;8,57-10,3gr;Polyrex;48cNm / 0,48Nm;32cNm / 0,32Nm;………………;……….;-;;;;;;;;
31;ASL203-17RG;12;0;-120;40;0;-11;22;0;-120;17;15;0;C0;3;18;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
32;ASL205-14;15;0;-120;52;0;-13;27;0;-120;22.225;18;0;C3;125;185;64;58;64;58;3,98 - 4,55;Polyrex;…………….;…………….;………………;……….;-;;;;;;;;
33;B&P-047-ASL-205-14RG - ZJXY;15;0;-120;52;0;-13;27;0;-120;22.225;18;0;C0;5;20;64;58;64;58;2.85 - 3.4 gr;Polyrex;0.091 Nm;0.056 Nm;2016-09-13 00:00:00;A;-;;;;;;;;
34;B&P-002-ASL207-35-02-ZJXY;NO;NO;NO;NO;NO;NO;32;0;-120;35;21;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2015-01-13 00:00:00;0;-;;;;;;;;
35;ASL-207-35MM;19;0;-120;72;0;-15;32;0;-120;35;20;0;C0;6;20;64;58;64;58;5,4 - 6,4;Polyrex;…………….;…………….;………………;……….;-;;;;;;;;
36;ECL204-20MM;17;0;-120;47;0;0;34.2;0;-120;20;20;0;C3;13;28;NO;NO;NO;NO;;;…………….;…………….;………………;……….;-;;;;;;;;
37;ECL205-14-02;NO;NO;NO;NO;NO;NO;34.8;0;-120;22.225;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;………………;……….;-;;;;;;;;
38;ECL205-14-DBL;15;0;-120;52;0;-13;34.8;0;-120;22.225;18;0;C0;5;20;62;58;62;58;;;…………….;…………….;………………;……….;-;;;;;;;;
39;ECL205-14DG;17;0;-120;52;0;-13;34.8;0;-120;22.225;18;0;C0;5;20;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
40;BPB-047-ECL-205-15-DG- HNHL;15;0;-120;52;0;-13;34.8;0;-120;23.812;18;0;C0;5;20;64;58;64;58;50-60%;Polyrex;NO;NO;2018-10-29 00:00:00;A;-;;;;;;;;
41;ECL205-16-02;NO;NO;NO;NO;NO;NO;34.8;0;-120;25.4;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2011-04-29 00:00:00;0;-;;;;;;;;
42;BPB-047-ECL205-16DG - ZJXY;15;0;-120;52;0;-13;34.8;0;-120;25.4;18;0;C0;5;20;64;58;64;58;2.85 - 3.4 gr;Polyrex;0.23;0.157;2021-01-28 00:00:00;D;-;;;;;;;;
43;B&P-047-ECL-205-25DG - ZJXY;15;0;-120;52;0;-13;34.8;0;-120;25;18;0;C0;5;20;64;58;64;58;2,85 - 3,4 gr;Polyrex;0.23;0.157;2018-09-18 00:00:00;A;-;;;;;;;;
44;ECL206-19-02;NO;NO;NO;NO;NO;NO;36.4;0;-120;30.16;20;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;………………;……….;-;;;;;;;;
45;ECL206-19DG;18;0;-120;62;0;-13;36.4;0;-120;30.16;20;0;C0;20;5;64;58;64;58;4,6 - 5,5;Polyrex;33cNm / 0,33Nm;22cNm / 0,22Nm;………………;……….;-;;;;;;;;
46;ECL206-20DG;19;0;-120;62;0;-15;36.5;NO;NO;31.75;20;0;C3;NO;NO;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
47;ECL206-30-02;NO;NO;NO;NO;NO;NO;36.4;0;-120;30;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2014-08-20 00:00:00;0;-;;;;;;;;
48;ECL206-30-DBL;19;0;-120;62;0;-13;36.4;0;-120;30;18;0;C0;5;20;64;58;64;58;;;…………….;…………….;………………;……….;-;;;;;;;;
49;ECL206-30DG;18;0;-120;62;0;-13;36.4;0;-120;30;18;0;C0;5;20;64;58;64;58;4,6 - 5,5;Polyrex;33cNm / 0,33Nm;22cNm / 0,22Nm;2017-09-18 00:00:00;A;-;;;;;;;;
50;ECL-207-22-DBL;22;0;-120;72;0;-13;37.6;0;-120;34.925;21;0;C0;6;20;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
