Elegido;264;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Numero;Codigo;C;C+;C-;D;D+;D-;B;B+;B-;d;d+;d-;GR;GR+;GR-;A;A+;A-;ARO INT+;ARO INT -;ARO EXT +;ARO EXT -;TORQUE DE SELLOS +;TORQUE DE SELLOS -;PORCENTAJE DE GRASA;TIPO DE GRASA;Fecha Rev. Plano;Rev.
29;BPB-048-205SB - HNHL;18.26;0;-127;53.086;0;-13;24.7;0;-127;24;-1;-12;"RADIAL
AXIAL";"13
18";"38
54";NO;NO;NO;64;58;64;58;18 In/Oz;24 In/Oz;60% - 80%;polyrex;2009-10-20 00:00:00;A
30;206-BC72;18;0;-120;72;0;-13;18;0;-120;30;0;-10;C3;13;28;NO;NO;NO;58;64;58;64;……………………….;……………………….;;;……………….;……….
31;B&P-002-206-K6 - ZJXY;NO;NO;NO;NO;NO;NO;24;0;-120;NO;NO;NO;NO;NO;NO;25.4;127;0;64;58;NO;NO;NO;NO;NO;NO;2016-04-26 00:00:00;0
32;BPB-048-206-KRR14  - ZJXY;16;0;-120;62;0;-13;24;0;-120;31.773;0;-10;C3;13;28;NO;NO;NO;64;58;64;58;9,18cNm / 0,0918Nm;5.64cNm/0.0564Nm;4.854-6.472;polyrex;2017-10-24 00:00:00;A
33;206KRR6;16;0;-127;62;0;-13;24;0;-127;NO;NO;NO;C3;13;28;25.4;127;0;;;;;……………………….;……………………….;;;……………….;……….
34;206-KRRB6;16;0;-120;62;0;-13;24;0;-120;NO;NO;NO;C3;13;28;25.4;127;0;58;64;58;64;0.092;0.056;4,85-6,47;Polyrex;2016-07-07 00:00:00;C
35;206-PP19;13;0;-120;55;0;-13;19;0;-120;30;0;-10;C3;13;28;NO;NO;NO;NO;NO;NO;NO;……………………….;……………………….;70% 80%;Polyrex;……………….;……….
36;206-R16;16;0;-120;62;0;-13;No;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-04-27 00:00:00;0
37;B&P-002-207-K12 - ZJXY;NO;NO;NO;NO;NO;NO;25;0;-120;NO;NO;NO;NO;NO;NO;28.6;127;0;64;58;NO;NO;NO;NO;NO;NO;2016-10-05 00:00:00;0
38;B&P-002-207-K9 - ZJXY;NO;NO;NO;NO;NO;NO;37.694;0;-120;NO;NO;NO;NO;NO;NO;28.6;127;0;64;58;NO;NO;NO;NO;NO;NO;2016-04-26 00:00:00;0
