Elegido;447;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Numero;Codigo;d;d+;d-;B;B+;B-;T;T+;T-;D;D+;D-;C;C+;C-;HRC CUB+;HRC CUB-;HRC CONO+;HRC CONO-;PERFIL CUB;PERFIL CONO;PERFIL ROD.;RUG.PISTA CONO;RUG. RESPALDO CONO;RUG. PISTA CUBETA;Fecha Rev. Plano;Rev.;GA ;GA+;GA-
517;B&P-053-X-32206-DEFA;30;0;-12;20;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2022-07-20 00:00:00;A;;;
518;B&P-054-TDY206-DEFA;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;0;-16;17;0;-150;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2022-07-20 00:00:00;A;;;
519;B&P-053-X-32006-DEFA;30;0;-12;17;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;RECTO;RECTO;NO;NO;NO;2021-09-10 00:00:00;B;;;
520;B&P-054-TDY006-DEFA;NO;NO;NO;NO;NO;NO;NO;NO;NO;50;0;-16;27;0;-150;64;58;NO;NO;RECTO;NO;NO;NO;NO;NO;2021-09-10 00:00:00;B;;;
521;000-054-TDY210-DEFA;NO;NO;NO;NO;NO;NO;NO;NO;NO;90;0;-18;19;0;-120;64;58;NO;NO;RECTO;NO;NO;NO;NO;NO;2018-09-20 00:00:00;0;;;
522;B&P-053-TCX-1845-DEFA    ;88.9;25;0;39.688;76;-254;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;RECTO;RECTO;NO;NO;NO;2022-07-13 00:00:00;A;;;
523;B&P-054-TCY-8410-DEFA    ;NO;NO;NO;NO;NO;NO;NO;NO;NO;152.4;25;0;30.162;50;-254;64;58;NO;NO;RECTO;NO;NO;NO;NO;NO;2022-07-13 00:00:00;A;:;;
524;000-053-TCX207-DEFA;35;0;-12;17;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2022-05-22 00:00:00;B;;;
525;000-053-X-30311-DEFA;55;0;-12;29;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;RECTO;RECTO;NO;NO;NO;2023-11-01 00:00:00;0;;;
526;000-054-TCY311-DEFA;NO;NO;NO;NO;NO;NO;NO;NO;NO;120;0;-16;25;0;-120;64;58;NO;NO;RECTO;NO;NO;NO;NO;NO;2023-11-01 00:00:00;0;;;
527;B&P-053-X-32309-DEFA;45;0;-12;36;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2023-11-01 00:00:00;A;;;
528;000-054-TCY310-DEFA;NO;NO;NO;NO;NO;NO;NO;NO;NO;110;0;-18;23;0;-200;64;58;NO;NO;RECTO;NO;NO;NO;NO;NO;2024-05-14 00:00:00;0;;;
529;000-054-TTY013-DEFA;NO;NO;NO;NO;NO;NO;NO;NO;NO;100;0;-16;21;0;-120;64;58;NO;NO;RECTO;NO;NO;NO;NO;NO;2024-06-19 00:00:00;0;NO;NO;NO
530;000-053-X-33013-DEFA;65;0;-12;27;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;RECTO;RECTO;NO;NO;NO;2024-06-19 00:00:00;0;NO;NO;NO
531;000-053-X-30309-DEFA;45;0;-12;25;0;100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;RECTO;RECTO;NO;NO;NO;2011-12-07 00:00:00;0;NO;NO;NO
532;000-054-TCY307-DEFA;NO;NO;NO;NO;NO;NO;NO;NO;NO;80;0;-16;18;0;150;64;58;NO;NO;RECTO;NO;NO;NO;NO;NO;2024-08-10 00:00:00;0;;;
533;000-053-X-30307-DEFA;35;0;-12;21;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;RECTO;RECTO;NO;NO;NO;2024-10-10 00:00:00;0;;;
534;000-053-X-32016-DEFA;80;0;-15;29;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;RECTO;RECTO;NO;NO;NO;2024-10-10 00:00:00;0;;;
535;000-054-TDY016-DEFA;NO;NO;NO;NO;NO;NO;NO;NO;NO;125;0;-20;22;0;-200;64;58;NO;NO;RECTO;NO;NO;NO;NO;NO;2024-10-10 00:00:00;0;;;
536;000-054-TDY205-DEFA;NO;NO;NO;NO;NO;NO;NO;NO;NO;52;0;-16;15;0;-150;64;58;NO;NO;RECTO;NO;NO;NO;NO;NO;2024-10-10 00:00:00;0;;;
537;000-053-X-32205-DEFA;25;0;-12;18;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;RECTO;RECTO;NO;NO;NO;2024-10-10 00:00:00;0;;;
538;B&P-048-DTR1952-TTE-CMI;19.202;0;-127;50.8;0;-120;NO;NO;NO;52;0;-14;36;0;-120;64;58;64;58;NO;NO;NO;NO;NO;NO;2025-01-16 00:00:00;B;axial;55;15
539;B&P-048-DTR1645-DM-CMI;16;30;0;26;0;-120;NO;NO;NO;45.225;0;-13;22.8;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2025-01-16 00:00:00;B;axial;55;15
540;B&P-058-X-33110-MX;50;0;-17;26;0;-120;26;200;0;85;0;-18;20;0;-150;64;58;64;58;CONVEX;CONVEX;NO;NO;NO;NO;2018-09-19 00:00:00;0;;;
541;B&P-048-DTR1645-RD-HBZD;16;30;0;26;0;-120;NO;NO;NO;45.225;0;-13;22.8;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2024-08-09 00:00:00;0;axial;30;15
542;;88.9;25;0;39.688;76;-254;NO;NO;NO;152.4;25;0;30.162;50;-254;64;58;64;58;RECTO;RECTO;RECTO;NO;NO;NO;2022-07-13 00:00:00;A;;;
543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
