Empresa;Comp;Numero;Fecha;Producto;Cantidad;Deposito;Ubicacion;Observ;Proveedor;Usuario;OC;CodOC
BPB;IDESP;7063;18/11/2025;B&P-001-MS03-D;25000;03;X-00-00-00;PO#890 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;BPB-035-HK-3038;150;03;X-00-00-00;PO#915 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-047-HA-207;100;03;X-00-00-00;PO#910 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-047-HA-209;100;03;X-00-00-00;PO#910 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-047-T-210;100;03;X-00-00-00;PO#910 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-047-T-208;100;03;X-00-00-00;PO#910 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-002-MS03-D;25000;03;X-00-00-00;PO#890 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;BPB-047-T-212;50;03;X-00-00-00;PO#910 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-005-RET/SET-MS03;25000;03;X-00-00-00;PO#890 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-003-BALL-17/64;200000;03;X-00-00-00;PO#890 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-004-MS03RLD-BLUE;50000;03;X-00-00-00;PO#890 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-035-NK-2520;500;03;X-00-00-00;PO#915 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;BPB-035-NK-3230;100;03;X-00-00-00;PO#915 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;BPB-035-NKI-2020;100;03;X-00-00-00;PO#915 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7064;18/11/2025;B&P-037-BP-21001-BI;1837;03;X-00-00-00;Tooling Charge $1239.08;MIDLAND INDUSTRIES HK LIMITED;mconde;1224;OCOMI
BPB;IDESP;7064;18/11/2025;B&P-037-BP-21001-BD;1837;03;X-00-00-00;Tooling Charge $1239.08;MIDLAND INDUSTRIES HK LIMITED;mconde;1224;OCOMI
BPB;IDESP;7064;18/11/2025;B&P-040-51116;100;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1249;OCOMI
BPB;IDESP;7064;18/11/2025;BPB-040-51204;100;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1249;OCOMI
BPB;IDESP;7064;18/11/2025;B&P-040-51208;100;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1249;OCOMI
BPB;IDESP;7064;18/11/2025;B&P-040-51106;100;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1249;OCOMI
BPB;IDESP;7064;18/11/2025;B&P-040-51108;100;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1249;OCOMI
BPB;IDESP;7064;18/11/2025;B&P-040-1208-TN-C3;50;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1250;OCOMI
BPB;IDESP;7064;18/11/2025;B&P-040-1209-TN-C3;200;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1250;OCOMI
BPB;IDESP;7064;18/11/2025;B&P-040-1308-TN-C3;25;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1250;OCOMI
BPB;IDESP;7064;18/11/2025;B&P-040-1310-TN-C3;100;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1250;OCOMI
BPB;IDESP;7064;18/11/2025;B&P-040-1312-K-TN-C3;25;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1250;OCOMI
BPB;IDESP;7064;18/11/2025;B&P-040-2205-TN-C3;50;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1250;OCOMI
BPB;IDESP;7064;18/11/2025;B&P-045-PFF-8-Z;2000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1252;OCOMI
BPB;IDESP;7064;18/11/2025;B&P-040-51115;100;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1253;OCOMI
BPB;IDESP;7064;18/11/2025;B&P-051-H-320;50;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-322;50;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-310;50;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-306;50;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-041-LS19-2RS;100;03;X-00-00-00;PO#893 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-308;50;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-042-22206-CKW33C;25;03;X-00-00-00;PO#899 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-042-22207CKW33C3;25;03;X-00-00-00;PO#899 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-307;50;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-309;50;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-2308;50;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-311;25;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-314;25;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-2310;50;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-313;50;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-208;50;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-312;50;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-315;50;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-051-H-317;50;03;X-00-00-00;PO#894 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;113;OCREP
BPB;IDESP;7064;18/11/2025;B&P-004-205-DBL-08;1105;03;X-00-00-00;PO#1199 MID - seal of 205-DBL;MIDLAND INDUSTRIES HK LIMITED;mconde;114;OCREP
BPB;IDESP;7064;18/11/2025;B&P-004-204-DBL-08;415;03;X-00-00-00;PO#1199 MID - seal of 204-DBL;MIDLAND INDUSTRIES HK LIMITED;mconde;114;OCREP
BPB;IDESP;7064;18/11/2025;B&P-004-207-DBL-08;229;03;X-00-00-00;PO#1199 MID - seal of 207-DBL;MIDLAND INDUSTRIES HK LIMITED;mconde;114;OCREP
BPB;IDESP;7065;18/11/2025;B&P-004-SNL508-TG;440;03;X-00-00-00;PO#1223 MID;BESTECH INDUSTRIES LTD;mconde;155;OCREP
BPB;IDESP;7065;18/11/2025;B&P-004-SNL510-TG;440;03;X-00-00-00;PO#1223 MID;BESTECH INDUSTRIES LTD;mconde;155;OCREP
BPB;IDESP;7065;18/11/2025;B&P-004-SNL512-TG;220;03;X-00-00-00;PO#1223 MID;BESTECH INDUSTRIES LTD;mconde;155;OCREP
