Codigo;Match_Target;Archivo_Auxiliar;Coincidencia;Score;Tipo
B&P-047-ECL211-35D;B&P-047-ECL211-35D - HNHL;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-047-ECL-211-55DG-HNHL;0.919;desconocido
B&P-047-ECL211-35D;B&P-047-ECL211-35D - HNHL;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-047-ECL-211-55DG-HNHL;0.919;desconocido
B&P-047-ECL211-35D;B&P-047-ECL211-35D - HNHL;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-047-ECL-211-55DG-HNHL;0.919;desconocido
B&P-047-ECL211-35D;B&P-047-ECL211-35D - HNHL;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-047-ECL-211-55DG-HNHL;0.919;desconocido
B&P-047-ECL211-35D;B&P-047-ECL211-35D - HNHL;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-047-ECL-211-55DG-HNHL;0.919;desconocido
B&P-047-ECL211-35D;B&P-047-ECL211-35D - CMI;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-047-ECL211-35D-CMI;1.000;desconocido
