Elegido;66;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Codigo;d;d+;d-;D;D+;D-;C;C+;C-;B;B+;B-;Fw ;Fw+;Fw-;Fecha Rev. Plano;Rev.;Observaciones;;;;;;;;;;;;;;;;;;;;;;;
19;NKI-2520;25;0;10;38;0;-11;20;0;-120;NO;NO;NO;NO;NO;NO;…………………..;…..;;;;;;;;;;;;;;;;;;;;;;;;
20;RNA 69/28;32;NO;NO;45;0;-11;30;0;-120;NO;NO;NO;NO;NO;NO;…………………..;…..;;;;;;;;;;;;;;;;;;;;;;;;
21;RNA-6904;25;NO;NO;37;0;-11;30;0;-120;NO;NO;NO;NO;NO;NO;…………………..;…..;;;;;;;;;;;;;;;;;;;;;;;;
22;RNA-6905;30;NO;NO;42;0;-11;30;0;-120;NO;NO;NO;NO;NO;NO;…………………..;…..;;;;;;;;;;;;;;;;;;;;;;;;
23;TA-3820;;NO;NO;48;NO;NO;20;0;-250;NO;NO;NO;NO;NO;NO;…………………..;…..;;;;;;;;;;;;;;;;;;;;;;;;
24;BPB-035-YB-3216 - CWN;50.8;48;15;60.325;NO;NO;25.4;0;-250;NO;NO;NO;NO;NO;NO;2015-11-11 00:00:00;D;;;;;;;;;;;;;;;;;;;;;;;;
25;YB-3216;50.8;NO;NO;60.325;NO;NO;25.4;NO;NO;NO;NO;NO;NO;NO;NO;…………………..;…..;;;;;;;;;;;;;;;;;;;;;;;;
26;NA4907;35;0;-12;55;0;-13;20;0;-120;NO;NO;NO;42;NO;NO;2017-04-03 00:00:00;0;;;;;;;;;;;;;;;;;;;;;;;;
27;S1720;17;NO;NO;23;NO;NO;20;0;-120;NO;NO;NO;17;NO;NO;2017-04-03 00:00:00;0;;;;;;;;;;;;;;;;;;;;;;;;
28;NA4905;25;0;-10;42;0;-11;17;0;-120;NO;NO;NO;NO;NO;NO;2016-11-02 00:00:00;0;;;;;;;;;;;;;;;;;;;;;;;;
29;HK-3020;30;41;20;37;0;0;20;0;-20;NO;NO;NO;NO;NO;NO;2016-11-02 00:00:00;0;;;;;;;;;;;;;;;;;;;;;;;;
30;HK-5520;55;60;30;63;0;0;20;0;-20;NO;NO;NO;NO;NO;NO;2016-11-02 00:00:00;0;;;;;;;;;;;;;;;;;;;;;;;;
31;BPB-035-BA-1816-ZOH - CWN;28.575;38;13;34.925;NO;NO;25.4;0;-250;NO;NO;NO;NO;NO;NO;2017-08-18 00:00:00;0;;;;;;;;;;;;;;;;;;;;;;;;
32;BPB-035-HK-3038 - CWN;30;41;20;37;NO;NO;38;0;-250;NO;NO;NO;NO;NO;NO;2018-06-28 00:00:00;0;;;;;;;;;;;;;;;;;;;;;;;;
33;BPB-035-RNA-4910 - BPB;58;49;30;72;0;-13;22;0;-120;NO;NO;NO;NO;NO;NO;2018-12-07 00:00:00;A;;;;;;;;;;;;;;;;;;;;;;;;
34;BPB-035-NK-2830 - CWN;28;33;20;37;0;-11;30;0;-120;NO;NO;NO;NO;NO;NO;2014-07-11 00:00:00;A;;;;;;;;;;;;;;;;;;;;;;;;
35;BPB-035-NK-3230-JSGY;32;41;25;42;0;-11;30;0;-120;NO;NO;NO;NO;NO;NO;2025-12-31 00:00:00;B;;;;;;;;;;;;;;;;;;;;;;;;
36;BPB-035-HK-3016-CWN;30;41;20;37;NO;NO;16;0;-200;NO;NO;NO;NO;NO;NO;2016-03-09 00:00:00;A;;;;;;;;;;;;;;;;;;;;;;;;
37;BPB-035-NK-2930-JSGY;29;33;20;38;0;-11;30;0;-120;NO;NO;NO;NO;NO;NO;2021-06-22 00:00:00;A;;;;;;;;;;;;;;;;;;;;;;;;
