host_id,item,Fecha Partida,produc,descrip_larga,Llave,OC Tipo,OC numero,ubi,obser,canti_real_item,Cant_Despachada,canti_real,Comp,Num,Fecha_ing,Subgrupo,costo_prome_ponde,depO,uni_medi_stock,depo_descrip,,,Observacion
25876,6088IC06000115T,2026-04-13,TSG-PAX-002F000,Travesaño de Paralelogramo,TSG-PAX-002F0006088IC06000115T,OCREP,181,X-00-00-00,,34,34,59,IDESP,7146,2026-04-13,Paralelogramo Estandar,0,101,C/Uno,Control de Calidad,,,
25876,1088IC05000106N,2026-04-09,B&P-031-DAC-30550023,Automotor = 30x55x23,B&P-031-DAC-305500231088IC05000106N,,0,H-05-04-03,,276,276,276,INSI,1052,2026-04-09,AUTOMOTORES,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,B&P-032-BP-25005-01,Cuerpo polea CNH 86588003,B&P-032-BP-25005-016088IC06000109W,OCREP,176,D-30-03-01,,150,270,270,IDESP,7145,2026-04-09,Tensores,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,B&P-032-BP-25005-01,Cuerpo polea CNH 86588003,B&P-032-BP-25005-016088IC06000109W,OCREP,176,D-30-03-03,,120,270,270,IDESP,7145,2026-04-09,Tensores,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,B&P-032-BP-25005-02,Buje Polea CNH86588003,B&P-032-BP-25005-026088IC06000109W,OCREP,176,E-11-02-01,,2000,2000,2000,IDESP,7145,2026-04-09,Tensores,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,B&P-032-BP-25005-04,Remache 5.3 x 9.5,B&P-032-BP-25005-046088IC06000109W,OCREP,176,E-11-02-02,,18000,18000,18000,IDESP,7145,2026-04-09,Tensores,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,B&P-034-GE-25-ES-2RS,Rotula 25mm 2RS,B&P-034-GE-25-ES-2RS6088IC06000109W,OCOMI,1296,G-21-05-02,,100,100,100,IDESP,7145,2026-04-09,ROTULAS,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,B&P-034-GE-50-ES-2RS,ROTULA 50mm 2RS_x000D_,B&P-034-GE-50-ES-2RS6088IC06000109W,OCOMI,1296,G-17-05-03,,100,100,100,IDESP,7145,2026-04-09,ROTULAS,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,B&P-040-2210-TN-C3,Rod. Bolas a Rotula = 50x90x23,B&P-040-2210-TN-C36088IC06000109W,OCOMI,1307,G-08-04-02,,50,50,50,IDESP,7145,2026-04-09,Rod. Varios,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,B&P-040-51107,Rod. Axial de Bolas = 35x52x12_x000D_,B&P-040-511076088IC06000109W,OCOMI,1307,G-17-05-01,,300,300,300,IDESP,7145,2026-04-09,Rod. Varios,0,101,C/Uno,Control de Calidad,,,
